product,console,variant,type,market_price,old_price,new_price,diff,profit,status
AFL Premiership 2006 - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
After Burner - Sega 32X Game,Sega 32X,,,,,,,,NO_MATCH
After Burner - Sega Master System Game,Sega Master System,game only,loose,6.64,14.99,8.99,-6.00,1.79,APPLIED
After Burner - Sega Master System Game,Sega Master System,complete (cib),cib,13.52,13.28,18.99,5.71,4.62,APPLIED
After Burner II - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Agassi Tennis Generation - GBA Game,Gameboy Advance,complete (cib),cib,8.95,6.76,12.99,6.23,3.36,APPLIED
Agassi Tennis Generation - PS2 Game,Playstation 2,complete (cib),cib,7.95,12.99,10.99,-2.00,2.42,APPLIED
Aggressive Inline - GBA Game,Gameboy Advance,complete (cib),cib,13.67,7.25,18.99,11.74,4.47,APPLIED
Aggressive Inline - PS2 Game,Playstation 2,game only,loose,8.00,12.99,10.99,-2.00,2.37,APPLIED
Aggressive Inline - PS2 Game,Playstation 2,complete (cib),cib,11.88,19.99,16.99,-3.00,4.32,APPLIED
AH-3 Thunderstrike - Sega CD Game,Sega CD,,,,,,,,NO_MATCH
Aidyn Chronicles - Nintendo 64 Game,Nintendo 64,complete (cib),cib,105.99,40.56,143.99,103.43,33.52,APPLIED
Air Buster - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Air Conflicts - PSP Game,PSP,,,,,,,,NO_MATCH
Air Diver - Sega Genesis Game,Sega Genesis,,,,,,,,NO_MATCH
Air Fortress - NES Game,NES,game only,loose,10.00,13.25,13.99,0.74,3.28,APPLIED
Air Fortress - NES Game,NES,complete (cib),cib,33.83,13.25,45.99,32.74,10.53,APPLIED
Airblade - PS2 Game,Playstation 2,game only,loose,10.13,11.38,13.99,2.61,3.15,APPLIED
Airblade - PS2 Game,Playstation 2,complete (cib),cib,11.39,11.38,15.99,4.61,3.84,APPLIED
Airwolf - NES Game,NES,game only,loose,10.66,10.67,14.99,4.32,3.60,APPLIED
Airwolf - NES Game,NES,complete (cib),cib,32.69,10.67,44.99,34.32,10.70,APPLIED
Akuji the Heartless - PS1 Game,Playstation,complete (cib),cib,22.94,32.99,30.99,-2.00,6.85,APPLIED
