product,console,source,loose_price,old_cib,new_cib,ratio,status,notes
DICE DNA Integrated Cybernetic - PS2 Game,Playstation 2,synthetic_ratio_repair,4.83,7.99,8.99,1.86,APPLIED,diff=1.0
Dick Tracy - NES Game,NES,ebay(16),15.99,23.99,77.99,4.88,APPLIED,diff=54.0
Diva Girls: Divas On Ice - Wii Game,Wii,synthetic_ratio_repair(ebay_was_7.36),9.99,9.99,17.99,1.80,APPLIED,diff=8.0
Diva Starz Mall Mania - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,9.99,11.99,17.99,1.80,APPLIED,diff=6.0
Donald Duck AdvancePAL  - GBA Game,Gameboy Advance,synthetic_ratio_repair,14.95,25.99,26.99,1.81,APPLIED,diff=1.0
Donald Duck Going Quackers - Gamecube Game,Gamecube,ebay(6),30.13,53.99,47.99,1.59,APPLIED,diff=-6.0
Donald Duck Going Quackers - PS2 Game,Playstation 2,synthetic_ratio_repair,18.22,31.99,32.99,1.81,APPLIED,diff=1.0
Donkey Kong Country 2 - SNES Game,SNES,ebay(26),29.99,56.99,136.99,4.57,APPLIED,diff=80.0
Donkey Kong Country 3 - SNES Game,SNES,ebay(10),15.99,71.99,192.99,12.07,APPLIED,diff=121.0
Doom - SNES Game,SNES,ebay(24),21.99,117.99,201.99,9.19,APPLIED,diff=84.0
Double Dragon III The Arcade Game - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair,32.23,57.99,58.99,1.83,APPLIED,diff=1.0
Double Dragon V The Shadow Falls - SNES Game,SNES,ebay(5),28.99,45.99,93.99,3.24,APPLIED,diff=48.0
Dr Robotnik's Mean Bean Machine - Sega Genesis Game,Sega Genesis,ebay(8),30.62,54.99,53.99,1.76,APPLIED,diff=-1.0
Dragon Spirit - NES Game,NES,ebay(12),18.99,27.99,93.99,4.95,APPLIED,diff=66.0
Dragon Tales Dragon Adventures - GBA Game,Gameboy Advance,synthetic_ratio_repair,18.99,24.99,34.99,1.84,APPLIED,diff=10.0
Drake and Josh - GBA Game,Gameboy Advance,synthetic_ratio_repair,11.99,14.99,21.99,1.83,APPLIED,diff=7.0
Drakkhen - SNES Game,SNES,ebay(29),18.99,21.99,70.99,3.74,APPLIED,diff=49.0
DT Carnage - PS2 Game,Playstation 2,synthetic_ratio_repair,12.27,21.99,22.99,1.87,APPLIED,diff=1.0
DT Carnage - PSP Game,PSP,synthetic_ratio_repair(ebay_was_22.08),30.99,16.99,55.99,1.81,APPLIED,diff=39.0
Dual Blades - GBA Game,Gameboy Advance,synthetic_ratio_repair,49.99,41.99,89.99,1.80,APPLIED,diff=48.0
Dungeon Explorer Warriors of Ancient Arts - PSP Game,PSP,synthetic_ratio_repair(ebay_was_20.64),27.99,37.99,50.99,1.82,APPLIED,diff=13.0
Dynowarz The Destruction of Spondylus - NES Game,NES,synthetic_outlier_guard(ebay_was_71.29_n=4),13.54,23.99,24.99,1.85,APPLIED,diff=1.0
Earthworm Jim - SNES Game,SNES,ebay(15),22.99,77.99,198.99,8.66,APPLIED,diff=121.0
Eggs of Steel - PS1 Game,Playstation,ebay(6),55.99,71.99,114.99,2.05,APPLIED,diff=43.0
Enchanted Once Upon Andalasia - GBA Game,Gameboy Advance,synthetic_ratio_repair,11.99,16.99,21.99,1.83,APPLIED,diff=5.0
End War - PSP Game,PSP,synthetic_ratio_repair(ebay_was_8.27),12.99,13.99,23.99,1.85,APPLIED,diff=10.0
ESPN MLS ExtraTime 2002 - Gamecube Game,Gamecube,ebay(5),22.99,21.99,35.99,1.57,APPLIED,diff=14.0
Eternal Poison - PS2 Game,Playstation 2,synthetic_ratio_repair,94.98,169.99,170.99,1.80,APPLIED,diff=1.0
EverGirl - GBA Game,Gameboy Advance,synthetic_ratio_repair,5.37,8.99,9.99,1.86,APPLIED,diff=1.0
Exo Squad - Sega Genesis Game,Sega Genesis,synthetic_outlier_guard(ebay_was_114.07_n=3),24.99,54.99,44.99,1.80,APPLIED,diff=-10.0
F-Zero - SNES Game,SNES,ebay(30),15.99,35.99,95.99,6.00,APPLIED,diff=60.0
Family Feud - PS2 Game,Playstation 2,synthetic_ratio_repair,9.69,16.99,17.99,1.86,APPLIED,diff=1.0
Fantasia - Sega Genesis Game,Sega Genesis,ebay(18),22.99,28.99,43.99,1.91,APPLIED,diff=15.0
Fatal Fury - SNES Game,SNES,synthetic_outlier_guard(ebay_was_160.97_n=6),19.99,39.99,35.99,1.80,APPLIED,diff=-4.0
Fatal Fury Mark of the Wolves - Sega Dreamcast Game,Sega Dreamcast,ebay(4),89.99,123.99,155.99,1.73,APPLIED,diff=32.0
Fear Factor Unleashed - GBA Game,Gameboy Advance,ebay(4),11.99,13.99,15.99,1.33,APPLIED,diff=2.0
Fighting Masters - Sega Genesis Game,Sega Genesis,ebay(5),24.99,38.99,49.99,2.00,APPLIED,diff=11.0
Final Fantasy Adventure - Gameboy Game,Gameboy,ebay(13),31.99,110.99,155.99,4.88,APPLIED,diff=45.0
Final Fantasy II - SNES Game,SNES,ebay(11),68.99,138.99,309.99,4.49,APPLIED,diff=171.0
Final Fantasy III - SNES Game,SNES,ebay(34),49.99,181.99,397.99,7.96,APPLIED,diff=216.0
Final Fantasy Mystic Quest - SNES Game,SNES,ebay(23),18.99,45.99,124.99,6.58,APPLIED,diff=79.0
Final Fight - SNES Game,SNES,ebay(22),21.99,33.99,131.99,6.00,APPLIED,diff=98.0
Final Fight 2 - SNES Game,SNES,synthetic_outlier_guard(ebay_was_293.45_n=6),22.99,158.99,41.99,1.83,APPLIED,diff=-117.0
Force 21 - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,13.99,14.99,25.99,1.86,APPLIED,diff=11.0
Ford Bold Moves Street Racing - PSP Game,PSP,synthetic_ratio_repair(ebay_was_20.69),22.99,26.99,41.99,1.83,APPLIED,diff=15.0
Ford Mustang The Legend Lives - PS2 Game,Playstation 2,ebay(4),7.43,12.99,10.99,1.48,APPLIED,diff=-2.0
Formula 1 - PS1 Game,Playstation,ebay(21),9.99,96.99,14.99,1.50,APPLIED,diff=-82.0
Formula One 2000 - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,24.64,43.99,44.99,1.83,APPLIED,diff=1.0
Formula One Built To Win - NES Game,NES,synthetic_ratio_repair,49.99,86.99,89.99,1.80,APPLIED,diff=3.0
Fox Hunt - PS1 Game,Playstation,synthetic_ratio_repair,139.63,250.99,251.99,1.80,APPLIED,diff=1.0
Freaky Flyers - Gamecube Game,Gamecube,ebay(6),28.99,94.99,68.99,2.38,APPLIED,diff=-26.0
Friday the 13th - NES Game,NES,synthetic_outlier_guard(ebay_was_124.20_n=7),22.99,38.99,41.99,1.83,APPLIED,diff=3.0
Frogger - Sega Genesis Game,Sega Genesis,ebay(8),16.99,25.99,25.99,1.53,NO_CHANGE,diff=0.0
Frogger Ancient Shadow - PS2 Game,Playstation 2,synthetic_ratio_repair,15.11,26.99,27.99,1.85,APPLIED,diff=1.0
Fugitive Hunter - PS2 Game,Playstation 2,synthetic_ratio_repair,14.16,24.99,25.99,1.84,APPLIED,diff=1.0
Gadget Twins - Sega Genesis Game,Sega Genesis,ebay(4),21.99,36.99,48.99,2.23,APPLIED,diff=12.0
Gain Ground - Sega Genesis Game,Sega Genesis,ebay(5),43.99,117.99,73.99,1.68,APPLIED,diff=-44.0
Galidor Defenders of the Outer Dimension - GBA Game,Gameboy Advance,ebay(4),11.99,9.99,31.99,2.67,APPLIED,diff=22.0
Gex 3: Deep Cover Gecko - Gameboy Color Game,Gameboy Color,ebay(3),18.99,19.99,49.99,2.63,APPLIED,diff=30.0
Golgo 13 Top Secret Episode - NES Game,NES,ebay(19),12.99,19.99,62.99,4.85,APPLIED,diff=43.0
Gradius Galaxies - GBA Game,Gameboy Advance,ebay(5),46.99,80.99,121.99,2.60,APPLIED,diff=41.0
Gradius III - SNES Game,SNES,ebay(24),24.99,42.99,110.99,4.44,APPLIED,diff=68.0
Gran Turismo Concept 2002 Tokyo-Geneva - PS2 Game,Playstation 2,synthetic_ratio_repair,17.99,37.99,32.99,1.83,APPLIED,diff=-5.0
Grand Slam - Sega Saturn Game,Sega Saturn,synthetic_ratio_repair(ebay_was_36.86),64.99,106.99,116.99,1.80,APPLIED,diff=10.0
Growl - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair,180.99,196.99,325.99,1.80,APPLIED,diff=129.0
Gyruss - NES Game,NES,ebay(8),16.99,22.99,65.99,3.88,APPLIED,diff=43.0
