product,console,source,loose_price,old_cib,new_cib,ratio,status,notes
Space Invaders - SNES Game,SNES,ebay(26),13.99,30.99,37.99,2.72,APPLIED,diff=7.0
Spawn - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,62.99,118.99,113.99,1.81,APPLIED,diff=-5.0
Spawn - SNES Game,SNES,synthetic_outlier_guard(ebay_was_183.99_n=5),31.99,41.99,57.99,1.81,APPLIED,diff=16.0
Speedball 2 - Sega Genesis Game,Sega Genesis,ebay(6),37.99,47.99,52.99,1.39,APPLIED,diff=5.0
Speedy Gonzales Los Gatos Bandidos - SNES Game,SNES,synthetic_outlier_guard(ebay_was_55.65_n=6),18.99,29.99,34.99,1.84,APPLIED,diff=5.0
Spiderman - Nintendo 64 Game,Nintendo 64,synthetic_ratio_repair,31.99,82.99,57.99,1.81,APPLIED,diff=-25.0
Spiderman X-Men Arcade's Revenge - SNES Game,SNES,ebay(14),18.99,28.99,82.99,4.37,APPLIED,diff=54.0
SpongeBob's Atlantis SquarePantis - GBA Game,Gameboy Advance,synthetic_ratio_repair,12.82,22.99,23.99,1.87,APPLIED,diff=1.0
Sports Illustrated Golf Classic - Gameboy Game,Gameboy,synthetic_outlier_guard(ebay_was_36.79_n=4),11.99,13.99,21.99,1.83,APPLIED,diff=8.0
Spot Goes To Hollywood - Sega Genesis Game,Sega Genesis,ebay(3),31.99,49.99,52.99,1.66,APPLIED,diff=3.0
Spy Kids Challenger - GBA Game,Gameboy Advance,ebay(6),8.99,11.99,27.99,3.11,APPLIED,diff=16.0
Spyro Attack of the Rhynocs - GBA Game,Gameboy Advance,ebay(3),21.99,36.99,74.99,3.41,APPLIED,diff=38.0
Star Fox - SNES Game,SNES,ebay(22),11.99,44.99,132.99,11.09,APPLIED,diff=88.0
Star Soldier - NES Game,NES,ebay(19),13.99,17.99,62.99,4.50,APPLIED,diff=45.0
Street Fighter 2010 the Final Fight - NES Game,NES,ebay(10),19.99,38.99,108.99,5.45,APPLIED,diff=70.0
Street Fighter II - SNES Game,SNES,ebay(38),9.99,33.99,99.99,10.01,APPLIED,diff=66.0
Street Fighter II Turbo - SNES Game,SNES,ebay(34),18.99,49.99,102.99,5.42,APPLIED,diff=53.0
Street Jam Basketball - GBA Game,Gameboy Advance,synthetic_ratio_repair,13.99,13.99,25.99,1.86,APPLIED,diff=12.0
Street Smart - Sega Genesis Game,Sega Genesis,ebay(4),31.99,43.99,75.99,2.38,APPLIED,diff=32.0
Strider - NES Game,NES,ebay(14),18.99,27.99,105.99,5.58,APPLIED,diff=78.0
Strike Point - PS1 Game,Playstation,synthetic_ratio_repair,13.99,5.99,25.99,1.86,APPLIED,diff=20.0
Stunt Race FX - SNES Game,SNES,ebay(21),17.99,26.99,68.99,3.83,APPLIED,diff=42.0
Sub Terrania - Sega Genesis Game,Sega Genesis,ebay(22),15.99,20.99,26.99,1.69,APPLIED,diff=6.0
Sum of All Fears - PS2 Game,Playstation 2,synthetic_ratio_repair,11.65,19.99,20.99,1.80,APPLIED,diff=1.0
Super Black Bass - SNES Game,SNES,ebay(19),8.99,23.99,37.99,4.23,APPLIED,diff=14.0
Super Bomberman 2 - SNES Game,SNES,ebay(12),30.99,82.99,152.99,4.94,APPLIED,diff=70.0
Super Bonk - SNES Game,SNES,ebay(8),93.99,196.99,372.99,3.97,APPLIED,diff=176.0
Super Bubble Pop - PS1 Game,Playstation,ebay(3),9.50,16.99,15.99,1.68,APPLIED,diff=-1.0
Super Caesar's Palace - SNES Game,SNES,ebay(27),6.99,8.99,21.99,3.15,APPLIED,diff=13.0
Super Castlevania IV - SNES Game,SNES,ebay(29),68.99,116.99,248.99,3.61,APPLIED,diff=132.0
Super Dodge Ball - NES Game,NES,synthetic_ratio_repair,19.99,39.99,35.99,1.80,APPLIED,diff=-4.0
Super Double Dragon - SNES Game,SNES,ebay(9),37.99,100.99,229.99,6.05,APPLIED,diff=129.0
Super Ghouls 'N Ghosts - SNES Game,SNES,ebay(26),27.99,74.99,208.99,7.47,APPLIED,diff=134.0
Super Glove Ball - NES Game,NES,ebay(7),12.99,16.99,37.99,2.92,APPLIED,diff=21.0
Super Mario All-Stars - SNES Game,SNES,ebay(36),24.99,50.99,124.99,5.00,APPLIED,diff=74.0
Super Mario All-stars and Super Mario World - SNES Game,SNES,ebay(36),78.99,95.99,130.99,1.66,APPLIED,diff=35.0
Super Mario Ball - GBA Game,Gameboy Advance,synthetic_ratio_repair,27.99,42.99,50.99,1.82,APPLIED,diff=8.0
Super Mario Kart - SNES Game,SNES,ebay(32),43.99,84.99,145.99,3.32,APPLIED,diff=61.0
Super Mario RPG - SNES Game,SNES,ebay(32),18.99,237.99,350.99,18.48,APPLIED,diff=113.0
Super Mario World - SNES Game,SNES,ebay(26),18.99,51.99,677.99,35.70,APPLIED,diff=626.0
Super Mario World 2 Yoshi's Island - SNES Game,SNES,ebay(29),21.99,99.99,217.99,9.91,APPLIED,diff=118.0
Super Nova - SNES Game,SNES,synthetic_outlier_guard(ebay_was_142.58_n=4),49.99,93.99,89.99,1.80,APPLIED,diff=-4.0
Super Off Road - SNES Game,SNES,ebay(14),12.99,37.99,40.99,3.16,APPLIED,diff=3.0
Super PickUps - Wii Game,Wii,ebay(3),10.99,14.99,18.99,1.73,APPLIED,diff=4.0
Super Pinball Behind the Mask - SNES Game,SNES,ebay(23),12.99,18.99,30.99,2.39,APPLIED,diff=12.0
Super Play Action Football - SNES Game,SNES,ebay(27),7.99,10.99,24.99,3.13,APPLIED,diff=14.0
Super R-Type - SNES Game,SNES,ebay(28),18.99,35.99,119.99,6.32,APPLIED,diff=84.0
Super Scope 6 - SNES Game,SNES,ebay(13),10.99,23.99,211.99,19.29,APPLIED,diff=188.0
Super Shot Soccer - PS1 Game,Playstation,synthetic_ratio_repair,30.97,54.99,55.99,1.81,APPLIED,diff=1.0
Super Smash TV - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair,29.99,49.99,53.99,1.80,APPLIED,diff=4.0
Super Star Wars - SNES Game,SNES,ebay(38),17.18,29.99,77.99,4.54,APPLIED,diff=48.0
Super Star Wars Empire Strikes Back - SNES Game,SNES,ebay(26),23.99,47.99,64.99,2.71,APPLIED,diff=17.0
Super Street Fighter II - SNES Game,SNES,ebay(36),12.99,48.99,99.99,7.70,APPLIED,diff=51.0
Super Team Games - NES Game,NES,ebay(12),12.99,15.99,46.99,3.62,APPLIED,diff=31.0
Supercross Circuit - PS1 Game,Playstation,synthetic_ratio_repair(ebay_was_7.08),12.99,20.99,23.99,1.85,APPLIED,diff=3.0
Swashbucklers - PS2 Game,Playstation 2,synthetic_ratio_repair,13.28,22.99,23.99,1.81,APPLIED,diff=1.0
Tall Infinity - PS1 Game,Playstation,synthetic_ratio_repair,9.35,15.99,16.99,1.82,APPLIED,diff=1.0
Task Force Harrier - Sega Genesis Game,Sega Genesis,ebay(3),62.99,90.99,101.99,1.62,APPLIED,diff=11.0
Taz-Mania - Sega Genesis Game,Sega Genesis,ebay(32),12.99,18.99,22.99,1.77,APPLIED,diff=4.0
Taz-Mania - SNES Game,SNES,ebay(29),12.99,20.99,49.99,3.85,APPLIED,diff=29.0
Tecmo Super Bowl - PS1 Game,Playstation,synthetic_ratio_repair,19.99,56.99,35.99,1.80,APPLIED,diff=-21.0
Tecmo Super Bowl - SNES Game,SNES,ebay(17),10.99,39.99,49.99,4.55,APPLIED,diff=10.0
Teen Titans 2 - GBA Game,Gameboy Advance,synthetic_outlier_guard(ebay_was_93.55_n=3),35.99,47.99,64.99,1.81,APPLIED,diff=17.0
Teenage Mutant Ninja Turtles III Radical Rescue - Gameboy Game,Gameboy,synthetic_ratio_repair,155.99,199.99,280.99,1.80,APPLIED,diff=81.0
Teenage Mutant Ninja Turtles Tournament Fighters - SNES Game,SNES,ebay(11),29.99,51.99,155.99,5.20,APPLIED,diff=104.0
Ten Pin Alley - Sega Saturn Game,Sega Saturn,synthetic_outlier_guard(ebay_was_46.00_n=3),17.99,29.99,32.99,1.83,APPLIED,diff=3.0
Tenchu 3 Wrath of Heaven - PS2 Game,Playstation 2,synthetic_ratio_repair(ebay_was_27.59),33.99,43.99,61.99,1.82,APPLIED,diff=18.0
Test Drive 2001 - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,15.99,19.99,28.99,1.81,APPLIED,diff=9.0
Test Drive Cycles - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,12.99,6.99,23.99,1.85,APPLIED,diff=17.0
Tetris 2 - SNES Game,SNES,ebay(29),12.99,26.99,37.99,2.92,APPLIED,diff=11.0
Tetris and Dr. Mario - SNES Game,SNES,ebay(18),16.99,70.99,89.99,5.30,APPLIED,diff=19.0
Tetris Attack - SNES Game,SNES,ebay(16),22.99,39.99,54.99,2.39,APPLIED,diff=15.0
The Adventures of Rocky and Bullwinkle and Friends - Sega Genesis Game,Sega Genesis,ebay(6),37.99,47.99,57.99,1.53,APPLIED,diff=10.0
The Bible Game - GBA Game,Gameboy Advance,synthetic_outlier_guard(ebay_was_46.92_n=4),16.99,21.99,30.99,1.82,APPLIED,diff=9.0
The Divide Enemies Within - PS1 Game,Playstation,synthetic_ratio_repair,43.30,76.99,77.99,1.80,APPLIED,diff=1.0
The Great Circus Mystery Starring Mickey and Minnie - SNES Game,SNES,synthetic_outlier_guard(ebay_was_83.12_n=6),28.99,56.99,52.99,1.83,APPLIED,diff=-4.0
The Hustle Detroit Streets - PS2 Game,Playstation 2,ebay(9),7.14,11.99,12.99,1.82,APPLIED,diff=1.0
The Karate Kid - NES Game,NES,ebay(25),17.99,25.99,62.99,3.50,APPLIED,diff=37.0
The Lion King - SNES Game,SNES,ebay(31),16.99,26.99,68.99,4.06,APPLIED,diff=42.0
The Lost Vikings - Sega Genesis Game,Sega Genesis,ebay(10),22.99,27.99,60.99,2.65,APPLIED,diff=33.0
The Mask - SNES Game,SNES,ebay(9),12.99,209.99,37.99,2.92,APPLIED,diff=-172.0
The Punisher - Gameboy Game,Gameboy,synthetic_outlier_guard(ebay_was_533.59_n=4),29.99,57.99,53.99,1.80,APPLIED,diff=-4.0
The Punisher - NES Game,NES,synthetic_outlier_guard(ebay_was_183.91_n=7),35.99,69.99,64.99,1.81,APPLIED,diff=-5.0
The Ren and Stimpy Show Buckeroos - NES Game,NES,synthetic_outlier_guard(ebay_was_171.11_n=3),37.85,67.99,68.99,1.82,APPLIED,diff=1.0
The Ren and Stimpy Show Fire Dogs - SNES Game,SNES,synthetic_outlier_guard(ebay_was_229.95_n=7),68.76,122.99,123.99,1.80,APPLIED,diff=1.0
The Ren and Stimpy Show Stimpy's Invention - Sega Genesis Game,Sega Genesis,ebay(8),18.99,18.99,35.99,1.90,APPLIED,diff=17.0
The Three Stooges - PS1 Game,Playstation,synthetic_ratio_repair,23.73,41.99,42.99,1.81,APPLIED,diff=1.0
Theme Park - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair(ebay_was_63.48),77.99,98.99,140.99,1.81,APPLIED,diff=42.0
Threads of Fate - PS1 Game,Playstation,ebay(6),37.99,117.99,114.99,3.03,APPLIED,diff=-3.0
Thunder Alley - GBA Game,Gameboy Advance,synthetic_ratio_repair,11.99,15.99,21.99,1.83,APPLIED,diff=6.0
Thunder Fox - Sega Genesis Game,Sega Genesis,ebay(4),58.99,65.99,100.99,1.71,APPLIED,diff=35.0
Tokyo Xtreme Racer Advance - GBA Game,Gameboy Advance,synthetic_ratio_repair,21.99,27.99,39.99,1.82,APPLIED,diff=12.0
Tom and Jerry War of Whiskers - Gamecube Game,Gamecube,synthetic_ratio_repair,34.99,55.99,62.99,1.80,APPLIED,diff=7.0
Tomb Raider [Black Label] - PS1 Game,Playstation,ebay(9),12.99,33.99,24.99,1.92,APPLIED,diff=-9.0
Tombs and Treasure - NES Game,NES,ebay(5),53.99,81.99,142.99,2.65,APPLIED,diff=61.0
Tonka On The Job - GBA Game,Gameboy Advance,synthetic_ratio_repair,9.99,6.99,17.99,1.80,APPLIED,diff=11.0
Tonka Space Station - PS1 Game,Playstation,synthetic_ratio_repair(ebay_was_8.51),12.99,15.99,23.99,1.85,APPLIED,diff=8.0
Tony Hawk 3 - Nintendo 64 Game,Nintendo 64,synthetic_outlier_guard(ebay_was_200.48_n=3),68.99,129.99,124.99,1.81,APPLIED,diff=-5.0
Toobin' - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,16.99,27.99,30.99,1.82,APPLIED,diff=3.0
Top Gear - SNES Game,SNES,ebay(18),14.99,31.99,84.99,5.67,APPLIED,diff=53.0
Top Gun Firestorm Advance - GBA Game,Gameboy Advance,ebay(4),9.99,11.99,22.99,2.30,APPLIED,diff=11.0
Torneko The Last Hope - PS1 Game,Playstation,ebay(3),162.64,291.99,226.99,1.40,APPLIED,diff=-65.0
Toxic Crusaders - NES Game,NES,synthetic_outlier_guard(ebay_was_459.97_n=4),161.99,261.99,291.99,1.80,APPLIED,diff=30.0
Toy Story - SNES Game,SNES,synthetic_outlier_guard(ebay_was_46.87_n=6),14.99,33.99,26.99,1.80,APPLIED,diff=-7.0
Transworld Surf Next Wave - Gamecube Game,Gamecube,synthetic_ratio_repair(ebay_was_27.60),29.99,26.99,53.99,1.80,APPLIED,diff=27.0
Treasure Master - NES Game,NES,synthetic_outlier_guard(ebay_was_92.00_n=3),33.99,43.99,61.99,1.82,APPLIED,diff=18.0
TRIBES Aerial Assault - PS2 Game,Playstation 2,synthetic_ratio_repair,7.52,12.99,13.99,1.86,APPLIED,diff=1.0
True Lies - SNES Game,SNES,ebay(5),81.99,105.99,235.99,2.88,APPLIED,diff=130.0
Turbo Turtle Adventure - GBA Game,Gameboy Advance,synthetic_ratio_repair,33.99,51.99,61.99,1.82,APPLIED,diff=10.0
Twisted Metal Head On - PS2 Game,Playstation 2,synthetic_ratio_repair(ebay_was_38.64),52.99,50.99,95.99,1.81,APPLIED,diff=45.0
Twisted Metal Small Brawl - PS1 Game,Playstation,synthetic_ratio_repair,21.99,124.99,39.99,1.82,APPLIED,diff=-85.0
Tyco RC - PS1 Game,Playstation,synthetic_ratio_repair(ebay_was_8.27),9.99,12.99,17.99,1.80,APPLIED,diff=5.0
Tyrants Fight Through Time - Sega Genesis Game,Sega Genesis,ebay(6),18.99,36.99,41.99,2.21,APPLIED,diff=5.0
Ultima Exodus - NES Game,NES,ebay(32),18.99,28.99,71.99,3.79,APPLIED,diff=43.0
Ultimate Arcade Games - GBA Game,Gameboy Advance,synthetic_ratio_repair,17.39,30.99,31.99,1.84,APPLIED,diff=1.0
Ultimate Mortal Kombat 3 - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair(ebay_was_31.97),39.99,64.99,71.99,1.80,APPLIED,diff=7.0
Ultimate Winter Games - GBA Game,Gameboy Advance,synthetic_ratio_repair,16.88,29.99,30.99,1.84,APPLIED,diff=1.0
UN Squadron - SNES Game,SNES,ebay(9),43.99,76.99,124.99,2.84,APPLIED,diff=48.0
Unfabulous - GBA Game,Gameboy Advance,ebay(6),9.99,9.99,12.99,1.30,APPLIED,diff=3.0
Unison Rebels of Rhythm and Dance - PS2 Game,Playstation 2,synthetic_ratio_repair,12.12,20.99,21.99,1.81,APPLIED,diff=1.0
Universal Soldier - Sega Genesis Game,Sega Genesis,ebay(3),40.99,57.99,69.99,1.71,APPLIED,diff=12.0
Vampire Hunter D - PS1 Game,Playstation,ebay(5),49.99,101.99,124.99,2.50,APPLIED,diff=23.0
Vanguard Bandits - PS1 Game,Playstation,synthetic_outlier_guard(ebay_was_183.99_n=3),26.99,303.99,48.99,1.82,APPLIED,diff=-255.0
Vapor Trail: Hyper Offence Formation - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair,77.26,138.99,139.99,1.81,APPLIED,diff=1.0
Vegas Dream - NES Game,NES,ebay(28),9.98,16.99,35.99,3.61,APPLIED,diff=19.0
Vegas Stakes - SNES Game,SNES,ebay(25),8.99,16.99,23.99,2.67,APPLIED,diff=7.0
Viewpoint - Sega Genesis Game,Sega Genesis,ebay(6),39.99,57.99,62.99,1.58,APPLIED,diff=5.0
Vigilante 8 - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,18.99,69.99,34.99,1.84,APPLIED,diff=-35.0
Virtua Fighter 2 - Sega Genesis Game,Sega Genesis,synthetic_outlier_guard(ebay_was_78.20_n=5),23.99,32.99,43.99,1.83,APPLIED,diff=11.0
Virtual Bart - Sega Genesis Game,Sega Genesis,ebay(3),29.99,60.99,80.99,2.70,APPLIED,diff=20.0
Virtual Pool 3 - PS1 Game,Playstation,synthetic_ratio_repair,14.38,24.99,25.99,1.81,APPLIED,diff=1.0
Volvo Drive for Life - Xbox Game,Xbox,ebay(3),12.99,10.99,18.99,1.46,APPLIED,diff=8.0
Wave Rally - PS2 Game,Playstation 2,synthetic_ratio_repair,8.89,15.99,16.99,1.91,APPLIED,diff=1.0
WCW World Championship Wrestling - NES Game,NES,synthetic_outlier_guard(ebay_was_160.99_n=6),23.99,38.99,43.99,1.83,APPLIED,diff=5.0
WeaponLord - Sega Genesis Game,Sega Genesis,ebay(3),43.99,49.99,80.99,1.84,APPLIED,diff=31.0
Wheel of Fortune - PS2 Game,Playstation 2,synthetic_ratio_repair,5.99,15.99,10.99,1.83,APPLIED,diff=-5.0
Where in Time is Carmen Sandiego - NES Game,NES,ebay(14),18.99,30.99,86.99,4.58,APPLIED,diff=56.0
Wii Music - Wii Game,Wii,ebay(12),7.28,12.99,13.99,1.92,APPLIED,diff=1.0
Wii Play - Wii Game,Wii,ebay(33),3.99,20.99,13.99,3.51,APPLIED,diff=-7.0
Wild Thornberry's Rambler - Gameboy Color Game,Gameboy Color,synthetic_ratio_repair,11.99,10.99,21.99,1.83,APPLIED,diff=11.0
Win Lose or Draw - NES Game,NES,ebay(17),11.99,13.99,36.99,3.09,APPLIED,diff=23.0
Wings of Wor - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair,85.99,183.99,154.99,1.80,APPLIED,diff=-29.0
Wonder Boy in Monster World - Sega Genesis Game,Sega Genesis,ebay(4),55.99,61.99,106.99,1.91,APPLIED,diff=45.0
Wordtris - Gameboy Game,Gameboy,synthetic_outlier_guard(ebay_was_45.51_n=6),14.99,17.99,26.99,1.80,APPLIED,diff=9.0
World Cup USA 94 - Sega Genesis Game,Sega Genesis,ebay(5),11.02,18.99,15.99,1.45,APPLIED,diff=-3.0
WWF Royal Rumble - SNES Game,SNES,synthetic_outlier_guard(ebay_was_78.19_n=4),16.99,27.99,30.99,1.82,APPLIED,diff=3.0
WWF Super Wrestlemania - SNES Game,SNES,ebay(19),12.99,14.99,79.99,6.16,APPLIED,diff=65.0
X-Men Mutant Apocalypse - SNES Game,SNES,ebay(17),32.99,49.99,118.99,3.61,APPLIED,diff=69.0
X-Men vs. Street Fighter - Sega Saturn Game,Sega Saturn,ebay(9),47.98,85.99,120.99,2.52,APPLIED,diff=35.0
X-Perts - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair,18.99,28.99,34.99,1.84,APPLIED,diff=6.0
Xenophobe - NES Game,NES,ebay(17),16.99,20.99,62.99,3.71,APPLIED,diff=42.0
Young Indiana Jones Chronicles - NES Game,NES,synthetic_ratio_repair(ebay_was_82.79),149.99,222.99,269.99,1.80,APPLIED,diff=47.0
Ys III Wanderers from Ys - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair,142.99,150.99,257.99,1.80,APPLIED,diff=107.0
Yu-Gi-Oh Eternal Duelist Soul - GBA Game,Gameboy Advance,ebay(8),12.99,29.99,59.99,4.62,APPLIED,diff=30.0
Zany Golf - Sega Genesis Game,Sega Genesis,synthetic_ratio_repair(ebay_was_9.20),20.99,46.99,37.99,1.81,APPLIED,diff=-9.0
Zaxxon Motherbase 2000 - Sega 32X Game,Sega 32X,synthetic_ratio_repair(ebay_was_92.00),122.99,128.99,221.99,1.80,APPLIED,diff=93.0
Zebco Fishing - Gameboy Color Game,Gameboy Color,ebay(4),18.99,41.99,43.99,2.32,APPLIED,diff=2.0
Zelda Link to the Past - SNES Game,SNES,ebay(34),21.99,89.99,322.99,14.69,APPLIED,diff=233.0
Zoboomafoo - PS1 Game,Playstation,synthetic_ratio_repair,12.99,12.99,23.99,1.85,APPLIED,diff=11.0
Earthbound - SNES Game,SNES,synthetic_ratio_repair,618.99,718.99,1114.99,1.80,APPLIED,diff=396.0
Chrono Trigger - SNES Game,SNES,ebay(27),21.99,502.99,1179.99,53.66,APPLIED,diff=677.0
AAAHH Real Monsters - SNES Game,SNES,synthetic_outlier_guard(ebay_was_55.19_n=3),17.99,33.99,32.99,1.83,APPLIED,diff=-1.0
ActRaiser - SNES Game,SNES,synthetic_outlier_guard(ebay_was_126.96_n=5),26.99,112.99,48.99,1.82,APPLIED,diff=-64.0
Adventures of Dino Riki - NES Game,NES,ebay(13),18.99,29.99,62.99,3.32,APPLIED,diff=33.0
Adventures of Dr Franken - SNES Game,SNES,ebay(3),28.99,36.99,93.99,3.24,APPLIED,diff=57.0
Aladdin - SNES Game,SNES,ebay(22),13.99,38.99,69.99,5.00,APPLIED,diff=31.0
All-Star Baseball 2001 - Gameboy Color Game,Gameboy Color,ebay(3),13.99,15.99,31.99,2.29,APPLIED,diff=16.0
Aquatic Games Starring James Pond - Sega Genesis Game,Sega Genesis,ebay(6),20.99,24.99,38.99,1.86,APPLIED,diff=14.0
Army Men Air Combat Elite Missions - Gamecube Game,Gamecube,synthetic_ratio_repair,47.99,47.99,86.99,1.81,APPLIED,diff=39.0
Batman Returns - SNES Game,SNES,ebay(22),43.99,90.99,83.99,1.91,APPLIED,diff=-7.0
Bugs Bunny Crazy Castle - NES Game,NES,ebay(12),18.99,47.99,68.99,3.63,APPLIED,diff=21.0
Hook - SNES Game,SNES,synthetic_outlier_guard(ebay_was_105.80_n=5),17.99,85.99,32.99,1.83,APPLIED,diff=-53.0
Pac-Man 2 The New Adventures - SNES Game,SNES,ebay(31),12.99,34.99,44.99,3.46,APPLIED,diff=10.0
Super Adventure Island II - SNES Game,SNES,synthetic_ratio_repair,157.99,237.99,284.99,1.80,APPLIED,diff=47.0
Super Battleship - SNES Game,SNES,ebay(22),12.99,24.99,31.99,2.46,APPLIED,diff=7.0
Super Bomberman - SNES Game,SNES,ebay(11),16.99,151.99,471.99,27.78,APPLIED,diff=320.0
Tiny Toon Adventures Buster Busts Loose - SNES Game,SNES,ebay(21),18.99,34.99,68.99,3.63,APPLIED,diff=34.0
