id	custom_label_0	custom_label_2
shopify_ZZ_7956603306018_43794683494434	under_20	game
shopify_ZZ_7956603338786_43794756534306	under_20	game
shopify_ZZ_7956603338786_43794683461666	under_20	game
shopify_ZZ_7956603371554_43794756567074	under_20	game
shopify_ZZ_7956603371554_43794683428898	under_20	game
shopify_ZZ_7956603404322_43794756599842	under_20	game
shopify_ZZ_7956603404322_43794683396130	under_20	game
shopify_ZZ_7956603437090_43794756632610	under_20	game
shopify_ZZ_7956603437090_43794683363362	under_20	game
shopify_ZZ_7956603469858_43794756665378	under_20	game
shopify_ZZ_7956603469858_43794683330594	under_20	game
shopify_ZZ_7956603502626_43794756730914	under_20	game
shopify_ZZ_7956603502626_43794683297826	under_20	game
shopify_ZZ_7956603535394_43794756763682	under_20	game
shopify_ZZ_7956603535394_43794683265058	under_20	game
shopify_ZZ_7956603568162_43794756796450	under_20	game
shopify_ZZ_7956603568162_43794683232290	under_20	game
shopify_ZZ_7956603600930_43794756829218	over_50	game
shopify_ZZ_7956603600930_43794683199522	over_50	game
shopify_ZZ_7956603633698_43794756861986	20_to_50	game
shopify_ZZ_7956603633698_43794683166754	20_to_50	game
shopify_ZZ_7956603666466_43794756894754	under_20	game
shopify_ZZ_7956603666466_43794683133986	under_20	game
shopify_ZZ_7956603699234_43794756927522	under_20	game
shopify_ZZ_7956603699234_43794683101218	under_20	game
shopify_ZZ_7956603732002_43794756960290	under_20	game
shopify_ZZ_7956603732002_43794683068450	under_20	game
shopify_ZZ_7956603764770_43794756993058	under_20	game
shopify_ZZ_7956603764770_43794683035682	under_20	game
shopify_ZZ_7956603797538_43794757025826	under_20	game
shopify_ZZ_7956603797538_43794683002914	under_20	game
shopify_ZZ_7956603830306_43794757058594	under_20	game
shopify_ZZ_7956603830306_43794682806306	under_20	game
shopify_ZZ_7956603863074_43794757091362	under_20	game
shopify_ZZ_7956603863074_43794682773538	under_20	game
shopify_ZZ_7956603895842_43794757124130	20_to_50	game
shopify_ZZ_7956603895842_43794682740770	20_to_50	game
shopify_ZZ_7956603928610_43794757156898	under_20	game
shopify_ZZ_7956603928610_43794682708002	under_20	game
shopify_ZZ_7956603961378_43794757189666	over_50	game
shopify_ZZ_7956603961378_43794682675234	over_50	game
shopify_ZZ_7956603994146_43794757222434	under_20	game
shopify_ZZ_7956603994146_43794682642466	under_20	game
shopify_ZZ_7956604026914_43794757255202	20_to_50	game
shopify_ZZ_7956604026914_43794682609698	20_to_50	game
shopify_ZZ_7956604059682_43794757287970	20_to_50	game
shopify_ZZ_7956604059682_43794682576930	20_to_50	game
shopify_ZZ_7956604092450_43794757320738	over_50	game
shopify_ZZ_7956604092450_43794682544162	over_50	game
shopify_ZZ_7956604125218_43794757353506	under_20	game
shopify_ZZ_7956604125218_43794682511394	under_20	game
shopify_ZZ_7956604157986_43794757386274	20_to_50	game
shopify_ZZ_7956604157986_43794682478626	20_to_50	game
shopify_ZZ_7956604190754_43794757419042	20_to_50	game
shopify_ZZ_7956604190754_43794682445858	20_to_50	game
shopify_ZZ_7956604256290_43794757451810	under_20	game
shopify_ZZ_7956604256290_43794682413090	under_20	game
shopify_ZZ_7956604289058_43794757484578	under_20	game
shopify_ZZ_7956604289058_43794682380322	under_20	game
shopify_ZZ_7956604354594_43794757517346	20_to_50	game
shopify_ZZ_7956604354594_43794682282018	20_to_50	game
shopify_ZZ_7956604387362_43794757550114	20_to_50	game
shopify_ZZ_7956604387362_43794682249250	20_to_50	game
shopify_ZZ_7956604420130_43794757582882	over_50	game
shopify_ZZ_7956604420130_43794682216482	over_50	game
shopify_ZZ_7956604452898_43794757615650	20_to_50	game
shopify_ZZ_7956604452898_43794682183714	20_to_50	game
shopify_ZZ_7956604485666_43794757648418	under_20	game
shopify_ZZ_7956604485666_43794682150946	under_20	game
shopify_ZZ_7956604518434_43794757681186	over_50	game
shopify_ZZ_7956604518434_43794682118178	over_50	game
shopify_ZZ_7956604551202_43794757713954	20_to_50	game
shopify_ZZ_7956604551202_43794682085410	20_to_50	game
shopify_ZZ_7956604583970_43794757746722	under_20	game
shopify_ZZ_7956604583970_43794681987106	under_20	game
shopify_ZZ_7956604616738_43794757779490	under_20	game
shopify_ZZ_7956604616738_43794681954338	under_20	game
shopify_ZZ_7956604649506_43794757845026	under_20	game
shopify_ZZ_7956604649506_43794681921570	under_20	game
shopify_ZZ_7956604682274_43794757877794	20_to_50	game
shopify_ZZ_7956604682274_43794681888802	20_to_50	game
shopify_ZZ_7956604715042_43794757910562	20_to_50	game
shopify_ZZ_7956604715042_43794681856034	20_to_50	game
shopify_ZZ_7956604780578_43794757943330	20_to_50	game
shopify_ZZ_7956604780578_43794681823266	20_to_50	game
shopify_ZZ_7956604813346_43794757976098	under_20	game
shopify_ZZ_7956604813346_43794681790498	under_20	game
shopify_ZZ_7956605403170_43794758008866	under_20	game
shopify_ZZ_7956605403170_43794681757730	under_20	game
shopify_ZZ_7956605435938_43794758041634	over_50	game
shopify_ZZ_7956605435938_43794681724962	over_50	game
shopify_ZZ_7956605468706_43794758074402	20_to_50	game
shopify_ZZ_7956605468706_43794681692194	20_to_50	game
shopify_ZZ_7956605501474_43794758107170	over_50	game
shopify_ZZ_7956605501474_43794681659426	over_50	game
shopify_ZZ_7956605534242_43794758139938	under_20	game
shopify_ZZ_7956605534242_43794681626658	under_20	game
shopify_ZZ_7956605567010_43794758172706	under_20	game
shopify_ZZ_7956605567010_43794681593890	under_20	game
shopify_ZZ_7956605599778_43794758205474	under_20	game
shopify_ZZ_7956605599778_43794681561122	under_20	game
shopify_ZZ_7956605665314_43794758238242	under_20	game
shopify_ZZ_7956605665314_43794681528354	under_20	game
shopify_ZZ_7956605698082_43794758271010	under_20	game
shopify_ZZ_7956605698082_43794681495586	under_20	game
shopify_ZZ_7956605730850_43794758303778	under_20	game
shopify_ZZ_7956605730850_43794681462818	under_20	game
shopify_ZZ_7956605763618_43794758336546	under_20	game
shopify_ZZ_7956605763618_43794681430050	under_20	game
shopify_ZZ_7956605796386_43794758434850	under_20	game
shopify_ZZ_7956605796386_43794681397282	under_20	game
shopify_ZZ_7956605829154_43794758467618	under_20	game
shopify_ZZ_7956605829154_43794681364514	under_20	game
shopify_ZZ_7956605861922_43794758533154	under_20	game
shopify_ZZ_7956605861922_43794681331746	under_20	game
shopify_ZZ_7956605894690_43794758500386	under_20	game
shopify_ZZ_7956605894690_43794681298978	under_20	game
shopify_ZZ_7956605927458_43794758565922	under_20	game
shopify_ZZ_7956605927458_43794681266210	under_20	game
shopify_ZZ_7956605960226_43794758598690	under_20	game
shopify_ZZ_7956605960226_43794681233442	under_20	game
shopify_ZZ_7956605992994_43794758631458	under_20	game
shopify_ZZ_7956605992994_43794681200674	under_20	game
shopify_ZZ_7956606025762_43794758729762	under_20	game
shopify_ZZ_7956606025762_43794681167906	under_20	game
shopify_ZZ_7956606058530_43794758664226	20_to_50	game
shopify_ZZ_7956606058530_43794681135138	20_to_50	game
shopify_ZZ_7956606091298_43794758696994	20_to_50	game
shopify_ZZ_7956606091298_43794681102370	20_to_50	game
shopify_ZZ_7956606156834_43794758762530	under_20	game
shopify_ZZ_7956606156834_43794681069602	under_20	game
shopify_ZZ_7956606189602_43794758795298	under_20	game
shopify_ZZ_7956606189602_43794681036834	under_20	game
shopify_ZZ_7956606222370_43794758860834	under_20	game
shopify_ZZ_7956606222370_43794681004066	under_20	game
shopify_ZZ_7956606255138_43794758828066	20_to_50	game
shopify_ZZ_7956606255138_43794680971298	20_to_50	game
shopify_ZZ_7956606320674_43794758893602	20_to_50	game
shopify_ZZ_7956606320674_43794680938530	20_to_50	game
shopify_ZZ_7956606353442_43794758926370	20_to_50	game
shopify_ZZ_7956606353442_43794680905762	20_to_50	game
shopify_ZZ_7956606386210_43794758959138	under_20	game
shopify_ZZ_7956606386210_43794680840226	under_20	game
shopify_ZZ_7956606418978_43794759024674	under_20	game
shopify_ZZ_7956606418978_43794680807458	under_20	game
shopify_ZZ_7956606451746_43794759057442	20_to_50	game
