id,excluded_destination
shopify_US_7956611858466_43794673958946,Shopping_ads
shopify_US_7956611891234_43794673926178,Shopping_ads
shopify_US_7956611924002_43794673893410,Shopping_ads
shopify_US_7956611956770_43794673827874,Shopping_ads
shopify_US_7956611989538_43794673795106,Shopping_ads
shopify_US_7956612022306_43794673762338,Shopping_ads
shopify_US_7956612055074_43794673696802,Shopping_ads
shopify_US_7956612087842_43794673664034,Shopping_ads
shopify_US_7956612120610_43794673631266,Shopping_ads
shopify_US_7956612153378_43794673598498,Shopping_ads
shopify_US_7956612186146_43794673565730,Shopping_ads
shopify_US_7956612218914_43794673500194,Shopping_ads
shopify_US_7956612251682_43794673467426,Shopping_ads
shopify_US_7956612284450_43794673434658,Shopping_ads
shopify_US_7956612317218_43794673369122,Shopping_ads
shopify_US_7956612349986_43794673336354,Shopping_ads
shopify_US_7956612382754_43794673303586,Shopping_ads
shopify_US_7956612415522_43794673238050,Shopping_ads
shopify_US_7956612448290_43794673205282,Shopping_ads
shopify_US_7956612481058_43794673139746,Shopping_ads
shopify_US_7956612513826_43794673106978,Shopping_ads
shopify_US_7956612546594_43794673008674,Shopping_ads
shopify_US_7956612579362_43794672975906,Shopping_ads
shopify_US_7956612612130_43794672943138,Shopping_ads
shopify_US_7956612644898_43794672910370,Shopping_ads
shopify_US_7956612677666_43794672877602,Shopping_ads
shopify_US_7956612710434_43794672812066,Shopping_ads
shopify_US_7956612743202_43794672779298,Shopping_ads
shopify_US_7956612775970_43794672713762,Shopping_ads
shopify_US_7956612808738_43794672615458,Shopping_ads
shopify_US_7956612841506_43794672582690,Shopping_ads
shopify_US_7956612874274_43794672517154,Shopping_ads
shopify_US_7956612907042_43794672451618,Shopping_ads
shopify_US_7956612939810_43794672386082,Shopping_ads
shopify_US_7956612972578_43794672255010,Shopping_ads
shopify_US_7956613005346_43794672222242,Shopping_ads
shopify_US_7956613038114_43794672058402,Shopping_ads
shopify_US_7956613070882_43794672025634,Shopping_ads
shopify_US_7956613103650_43794671960098,Shopping_ads
shopify_US_7956613136418_43794671927330,Shopping_ads
shopify_US_7956613169186_43794671894562,Shopping_ads
shopify_US_7956613201954_43794671829026,Shopping_ads
shopify_US_7956613234722_43794671796258,Shopping_ads
shopify_US_7956613267490_43794671763490,Shopping_ads
shopify_US_7956613300258_43794671632418,Shopping_ads
shopify_US_7956613333026_43794671534114,Shopping_ads
shopify_US_7956613365794_43794671435810,Shopping_ads
shopify_US_7956613398562_43794671403042,Shopping_ads
shopify_US_7956613431330_43794671304738,Shopping_ads
shopify_US_7956613464098_43794671271970,Shopping_ads
shopify_US_7956613496866_43794671239202,Shopping_ads
shopify_US_7956613529634_43794671206434,Shopping_ads
shopify_US_7956613562402_43794671108130,Shopping_ads
shopify_US_7956613595170_43794671075362,Shopping_ads
shopify_US_7956613627938_43794671042594,Shopping_ads
shopify_US_7956613660706_43794671009826,Shopping_ads
shopify_US_7956613726242_43794670977058,Shopping_ads
shopify_US_7956613759010_43794670944290,Shopping_ads
shopify_US_7956613791778_43794670911522,Shopping_ads
shopify_US_7956613824546_43794670878754,Shopping_ads
shopify_US_7956613857314_43794670845986,Shopping_ads
shopify_US_7956613890082_43794670813218,Shopping_ads
shopify_US_7956613922850_43794670780450,Shopping_ads
shopify_US_7956613955618_43794670747682,Shopping_ads
shopify_US_7956613988386_43794670714914,Shopping_ads
shopify_US_7956614053922_43794670682146,Shopping_ads
shopify_US_7956614086690_43794670649378,Shopping_ads
shopify_US_7956614119458_43794669305890,Shopping_ads
shopify_US_7956614152226_43794669240354,Shopping_ads
shopify_US_7956614184994_43794669207586,Shopping_ads
shopify_US_7956614217762_43794669142050,Shopping_ads
shopify_US_7956614250530_43794669109282,Shopping_ads
shopify_US_7956614283298_43794669076514,Shopping_ads
shopify_US_7956614316066_43794669043746,Shopping_ads
shopify_US_7956614348834_43794669010978,Shopping_ads
shopify_US_7956614381602_43794668978210,Shopping_ads
shopify_US_7956614447138_43794668945442,Shopping_ads
shopify_US_7956614479906_43794668912674,Shopping_ads
shopify_US_7956614512674_43794668879906,Shopping_ads
shopify_US_7956614545442_43794668847138,Shopping_ads
shopify_US_7956614578210_43794668814370,Shopping_ads
shopify_US_7956614610978_43794668781602,Shopping_ads
shopify_US_7956614643746_43794668748834,Shopping_ads
shopify_US_7956614676514_43794668716066,Shopping_ads
shopify_US_7956614709282_43794668683298,Shopping_ads
shopify_US_7956614742050_43794668650530,Shopping_ads
shopify_US_7956614774818_43794668617762,Shopping_ads
shopify_US_7956614807586_43794668584994,Shopping_ads
shopify_US_7956614840354_43794668552226,Shopping_ads
shopify_US_7956614873122_43794668519458,Shopping_ads
shopify_US_7956614905890_43794668486690,Shopping_ads
shopify_US_7956614938658_43794668453922,Shopping_ads
shopify_US_7956614971426_43794668421154,Shopping_ads
shopify_US_7956615004194_43794668388386,Shopping_ads
shopify_US_7956615036962_43794668355618,Shopping_ads
shopify_US_7956615069730_43794668322850,Shopping_ads
shopify_US_7956615102498_43794668290082,Shopping_ads
shopify_US_7956615135266_43794668257314,Shopping_ads
shopify_US_7956615168034_43794668224546,Shopping_ads
shopify_US_7956615200802_43794668191778,Shopping_ads
shopify_US_7956615233570_43794668159010,Shopping_ads
shopify_US_7956615266338_43794668126242,Shopping_ads
shopify_US_7956615299106_43794668093474,Shopping_ads
shopify_US_7956615331874_43794668060706,Shopping_ads
shopify_US_7956615364642_43794668027938,Shopping_ads
shopify_US_7956615397410_43794667995170,Shopping_ads
shopify_US_7956615430178_43794667962402,Shopping_ads
shopify_US_7956615462946_43794667929634,Shopping_ads
shopify_US_7956615495714_43794667896866,Shopping_ads
shopify_US_7956615528482_43794667864098,Shopping_ads
shopify_US_7956615594018_43794667831330,Shopping_ads
shopify_US_7956615626786_43794667798562,Shopping_ads
shopify_US_7956615659554_43794667765794,Shopping_ads
shopify_US_7956615692322_43794667733026,Shopping_ads
shopify_US_7956615725090_43794667700258,Shopping_ads
shopify_US_7956615757858_43794667667490,Shopping_ads
shopify_US_7956615790626_43794667634722,Shopping_ads
shopify_US_7956615823394_43794667601954,Shopping_ads
shopify_US_7956615856162_43794667569186,Shopping_ads
shopify_US_7956615888930_43794667536418,Shopping_ads
shopify_US_7956615921698_43794667503650,Shopping_ads
shopify_US_7956615954466_43794667470882,Shopping_ads
shopify_US_7956615987234_43794667438114,Shopping_ads
shopify_US_7956616052770_43794667405346,Shopping_ads
shopify_US_7956616085538_43794667372578,Shopping_ads
shopify_US_7956616118306_43794667339810,Shopping_ads
shopify_US_7956616151074_43794667307042,Shopping_ads
shopify_US_7956616183842_43794665177122,Shopping_ads
shopify_US_7956616216610_43794665046050,Shopping_ads
shopify_US_7956616249378_43794665013282,Shopping_ads
shopify_US_7956616282146_43794664554530,Shopping_ads
shopify_US_7956616314914_43794663342114,Shopping_ads
shopify_US_7956616347682_43794663309346,Shopping_ads
shopify_US_7956616380450_43794663276578,Shopping_ads
shopify_US_7956616413218_43794662359074,Shopping_ads
shopify_US_7956616445986_43794661572642,Shopping_ads
shopify_US_7956616478754_43794661539874,Shopping_ads
shopify_US_7956616511522_43794661507106,Shopping_ads
shopify_US_7956616544290_43794661474338,Shopping_ads
shopify_US_7956616577058_43794661441570,Shopping_ads
shopify_US_7956616609826_43794661408802,Shopping_ads
shopify_US_7956616675362_43794661376034,Shopping_ads
shopify_US_7956616708130_43794661343266,Shopping_ads
shopify_US_7956616740898_43794661310498,Shopping_ads
shopify_US_7956616773666_43794661277730,Shopping_ads
shopify_US_7956616806434_43794661244962,Shopping_ads
shopify_US_7956617003042_43794661212194,Shopping_ads
shopify_US_7956617265186_43794661179426,Shopping_ads
shopify_US_7956617560098_43794661146658,Shopping_ads
shopify_US_7956617592866_43794661113890,Shopping_ads
shopify_US_7956617625634_43794661081122,Shopping_ads
shopify_US_7956617691170_43794661015586,Shopping_ads
shopify_US_7956617723938_43794660982818,Shopping_ads
shopify_US_7956617756706_43794660950050,Shopping_ads
shopify_US_7956617822242_43794660917282,Shopping_ads
shopify_US_7956617887778_43794660884514,Shopping_ads
shopify_US_7956617953314_43794660818978,Shopping_ads
shopify_US_7956617986082_43794660786210,Shopping_ads
shopify_US_7956618018850_43794660753442,Shopping_ads
shopify_US_7956618051618_43794660524066,Shopping_ads
shopify_US_7956618117154_43794660458530,Shopping_ads
shopify_US_7956618182690_43794660327458,Shopping_ads
shopify_US_7956618215458_43794660196386,Shopping_ads
shopify_US_7956618248226_43794659934242,Shopping_ads
